"F","18","tronc commun","TC02","0","0","0","0","2","0","5","0","0","5","18",,"21:00:00","22:00:00","6","Oui","Vendredi","3","4"
"H","23","branche","GI06","2","2","2","2","-1","5","2","2","5","5","15",,"19:00:00","22:00:00","50","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","5","15"
"F","21","tronc commun","TC02","5","-1","-1","5","5","-5","-5","-5","2","2","40",,"19:00:00","23:00:00","5","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","1","15"
"F","20","branche","GI04","2","2","0","0","5","0","2","2","2","2","20",,"20:30:00","22:00:00","10","Oui","Mercredi, Jeudi, Vendredi","2","5"
"H","22","branche","GSM02","0","2","2","2","2","2","2","2","5","5","15",,"19:30:00","22:30:00","10","Non","Mardi, Mercredi, Jeudi, Vendredi","4","6"
"F","19","tronc commun","TC04","5","0","-1","2","2","0","5","5","5","5","20",,"20:00:00","22:00:00","15","Oui","Mardi, Mercredi, Jeudi","3","6"
"F","22","branche","GB04","2","0","2","5","5","0","5","0","2","5","20",,"20:00:00","22:30:00","8","Non","","2","6"
"H","21","branche","GI04","0","0","0","-5","-1","0","5","5","5","5","20",,"19:30:00","22:30:00","20","Oui","Lundi, Jeudi, Vendredi","2","8"
"F","18","tronc commun","TC02","0","0","-5","0","2","2","2","0","0","0","20",,"20:30:00","22:00:00","10","Oui","Mardi, Jeudi, Vendredi","1","5"
"F","19","tronc commun","TC02","0","5","5","2","0","0","5","5","0","5","20",,"20:15:00","22:00:00","8","Oui","Mardi, Jeudi, Vendredi","3","8"
"H","20","branche","GI01","2","2","2","5","5","5","5","2","2","5","15",,"20:15:00","22:00:00","10","Non","Mercredi, Vendredi","3","2"
"H","20","branche","GM02","2","0","0","0","2","0","5","0","0","5","25",,"19:30:00","21:40:00","10","Non","Jeudi","2","7"
"H","21","branche","GM02","2","0","-1","2","2","5","2","2","5","-1","30",,"19:30:00","22:00:00","8","Non","Mardi, Jeudi, Vendredi","3","5"
"F","22","branche","GP04","5","0","-5","2","2","0","-1","0","5","2","30",,"20:15:00","22:30:00","10","Oui","Jeudi, Vendredi","3","8"
